molecule_chembl_id,canonical_smiles,standard_value
CHEMBL534490,COc1c(/C=N/N=C(N)N)ccc(/C=N/NC(=N)N)c1OC.Cl.Cl,175000.0
CHEMBL535159,Cl.Cl.N=C(N)N/N=C/c1ccc(/C=N/NC(=N)N)c(O)c1O,59100.0
CHEMBL534939,Cl.Cl.N=C(N)N/N=C/c1ccc(/C=N/NC(=N)N)cc1,164000.0
CHEMBL505526,CCCCCCCCCCC[C@H](CC(=O)N[C@H]1[C@H](OC[C@H](NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCC)C(=O)O)O[C@H](CO)[C@@H](OP(=O)(O)O)[C@@H]1OC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCC)OC(=O)CCCCC,2.4
CHEMBL501231,CCCCCCCCCCC[C@H](CC(=O)N[C@H]1[C@H](OC[C@H](NC(=O)C[C@@H](CCCCCCCCCCC)OCCCCCC)C(=O)O)O[C@H](CO)[C@@H](OP(=O)(O)O)[C@@H]1OC(=O)C[C@@H](CCCCCCCCCCC)OCCCCCC)OCCCCCC,5.3
CHEMBL224563,CCOC(=O)C1=CCCCC1S(=O)(=O)Nc1ccc(Cl)cc1F,160.0
CHEMBL2364541,CCCCCC/C=C\CCCCCCCCCC(=O)N[C@H]1[C@H](OC[C@H]2O[C@H](OP(=O)([O-])[O-])[C@H](NC(=O)CC(=O)CCCCCCCCCCC)[C@@H](OCCCCCCCCCC)[C@@H]2O)O[C@H](OC)[C@@H](OP(=O)([O-])[O-])[C@@H]1OCC[C@@H](CCCCCCC)OC.[Na+].[Na+].[Na+].[Na+],1.5
CHEMBL458612,Nc1ccccc1Oc1ccc2c(N)nsc2c1,7000.0
CHEMBL387665,CCOC(=O)c1ccccc1S(=O)(=O)Nc1ccc(F)cc1Cl,10000.0
CHEMBL375048,CCOC(=O)C1=CCCCCC1S(=O)(=O)Nc1ccc(F)cc1Cl,240.0
CHEMBL224199,CCOC(=O)C1=CCCC1S(=O)(=O)Nc1ccc(F)cc1Cl,110.0
CHEMBL499811,CCOC(=O)C1=CCCCC1S(=O)(=O)NC1=NCCS1,10000.0
CHEMBL426184,CCOC(=O)C1=CCCCC1S(=O)(=O)Nc1ccc(F)cc1Cl,3.2
CHEMBL1223751,CCOc1ccc(OCC(O)CN(C)Cc2c(C)nn(Cc3ccccc3Cl)c2C)cc1,110500.0
CHEMBL3087261,CN(CC(=O)Nc1ccc(N2CCOCC2)cc1)Cc1nc2scc(-c3ccccc3)c2c(=O)[nH]1,167500.0
CHEMBL3087262,Cc1ccccc1Nc1nc(N)nc(CN2CCC[C@@H]2c2nc3ccccc3s2)n1,64100.0
CHEMBL3087263,COc1ccc(O)c(C(=O)c2cnc(/N=C(\N)Nc3ccc(F)cc3)nc2)c1,16600.0
CHEMBL3360816,CCCCCC(=O)O[C@@H]1[C@@H](OC(=O)CCCCC)[C@@H](OC)O[C@H](CSCCNC(=S)NCCN(CCN)CCN)[C@H]1OC(=O)CCCCC.Cl,3700.0
CHEMBL3360819,CCCCCC(=O)O[C@@H]1[C@H](OC(=O)CCCCC)[C@@H](O[C@H]2O[C@H](CSCCN)[C@@H](OC(=O)CCCCC)[C@H](OC(=O)CCCCC)[C@H]2OC(=O)CCCCC)O[C@H](CSCCN)[C@H]1OC(=O)CCCCC.Cl,1300.0
CHEMBL3360820,CCCCCC(=O)O[C@@H]1[C@H](OC(=O)CCCCC)[C@@H](O[C@H]2O[C@H](Cn3cc(CNC(=S)NCCN)nn3)[C@@H](OC(=O)CCCCC)[C@H](OC(=O)CCCCC)[C@H]2OC(=O)CCCCC)O[C@H](Cn2cc(CNC(=S)NCCN)nn2)[C@H]1OC(=O)CCCCC.Cl,5000.0
CHEMBL3360821,CCCCCC(=O)O[C@@H]1[C@H](OC(=O)CCCCC)[C@@H](O[C@H]2O[C@H](Cn3cc(CN(CCN)CCN)nn3)[C@@H](OC(=O)CCCCC)[C@H](OC(=O)CCCCC)[C@H]2OC(=O)CCCCC)O[C@H](Cn2cc(CN(CCN)CCN)nn2)[C@H]1OC(=O)CCCCC.Cl,600.0
CHEMBL4100044,CCCCCCCCCCCCCC(=O)N[C@H]1[C@@H](OP(=O)(O)O)O[C@H](CO)[C@@H](OP(=O)(O)O)[C@@H]1OC(=O)CCCCCCCCCCCCC,2000.0
CHEMBL4070714,CCCCCCCCCCCC(=O)N[C@H]1[C@@H](OP(=O)([O-])O)O[C@H](CO)[C@@H](OP(=O)([O-])O)[C@@H]1OC(=O)CCCCCCCCCCC.[Na+].[Na+],630.0
CHEMBL4069693,CCCCCCCCCC(=O)N[C@H]1[C@@H](OP(=O)([O-])O)O[C@H](CO)[C@@H](OP(=O)([O-])O)[C@@H]1OC(=O)CCCCCCCCC.[Na+].[Na+],5450.0
CHEMBL4170576,Cc1nn(Cc2ccccc2Cl)c(C)c1CN(C)CC(O)CCOc1ccc(F)cc1,55390.0
CHEMBL4163298,Cc1ccc(OCCC(O)CN(C)Cc2c(C)nn(Cc3ccccc3Cl)c2C)cc1,51540.0
CHEMBL4174733,CCc1ccc(OCCC(O)CN(C)Cc2c(C)nn(Cc3ccccc3Cl)c2C)cc1,26020.0
CHEMBL4171608,CCCc1ccc(OCCC(O)CN(C)Cc2c(C)nn(Cc3ccccc3Cl)c2C)cc1,24680.0
CHEMBL4168989,Cc1nn(Cc2ccccc2Cl)c(C)c1CN(C)CC(O)CCOc1ccc(C(C)(C)C)cc1,16680.0
CHEMBL4167187,CCOc1ccc(OCCC(O)CN(C)Cc2c(C)nn(Cc3ccccc3C)c2C)cc1,54600.0
CHEMBL4164834,CCOc1ccc(OCCC(O)CN(C)Cc2c(C)nn(Cc3ccc(Cl)cc3)c2C)cc1,25920.0
CHEMBL4175471,Cc1nn(Cc2ccccc2Cl)c(C)c1CN(C)CC(O)COc1cccc2[nH]c3ccccc3c12,12450.0
CHEMBL4175587,Cc1nn(Cc2ccccc2Cl)c(C)c1CN(C)CC(O)CCOc1cccc2[nH]c3ccccc3c12,15110.0
CHEMBL4176208,Cc1nn(Cc2ccccc2)c(C)c1CN(C)CC(O)COc1cccc2[nH]c3ccccc3c12,31540.0
CHEMBL4163980,Cc1nn(Cc2ccc(Cl)cc2)c(C)c1CN(C)CC(O)COc1cccc2[nH]c3ccccc3c12,13640.0
CHEMBL4174322,Cc1nn(Cc2ccccc2F)c(C)c1CN(C)CC(O)COc1cccc2[nH]c3ccccc3c12,34640.0
CHEMBL723,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,32220.0
CHEMBL2440787,COc1ccccc1OCCNCC(O)CCOc1cccc2[nH]c3ccccc3c12,32550.0
CHEMBL4161940,OC(CNc1ccc(-c2ccccc2)cc1)COc1cccc2[nH]c3ccccc3c12,21710.0
CHEMBL4169865,OC(CNc1ccc2c(c1)-c1ccccc1C2)COc1cccc2[nH]c3ccccc3c12,12390.0
CHEMBL4171849,O=C(c1ccccc1)c1cc(Cl)ccc1NCC(O)COc1cccc2[nH]c3ccccc3c12,21120.0
CHEMBL4168489,OC(CNc1ccc2ccccc2c1)COc1cccc2[nH]c3ccccc3c12,28530.0
CHEMBL4228510,COc1ccc(C/C(=N\O)c2nc3ccc(OC)cc3o2)cc1,540.0
CHEMBL4228911,COc1ccc(C/C(=N\O)c2nc3ccc(Cl)cc3o2)cc1,5420.0
CHEMBL4227459,Cc1ccc2nc(/C(Cc3ccccc3)=N/O)oc2c1,19250.0
CHEMBL4225876,Cc1ccc2oc(/C(Cc3ccc(F)cc3)=N/O)nc2c1,45650.0
CHEMBL4229108,COc1ccccc1C(=O)O/N=C(\C)c1nc2ccccc2o1,25900.0
CHEMBL225157,CCOC(=O)C1=CCCC[C@H]1S(=O)(=O)Nc1ccc(F)cc1Cl,680.0
CHEMBL501259,CCCCCC/C=C\CCCCCCCCCC(=O)N[C@H]1[C@H](OC[C@H]2O[C@H](OP(=O)(O)O)[C@H](NC(=O)CC(=O)CCCCCCCCCCC)[C@@H](OCCCCCCCCCC)[C@@H]2O)O[C@H](COC)[C@@H](OP(=O)(O)O)[C@@H]1OCC[C@@H](CCCCCCC)OC,1.5
